"tract","Name","Number_of_Children_rP_gP_pall"
24510100100,"Johnson Square, Baltimore, MD",830
24510260605,"Medford - Broening, Baltimore, MD",830
24003750400,"Linthicum Heights, MD",827
24510130300,"Penn North, Baltimore, MD",819
24027601204,"Elkridge, MD",818
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",818
24510250103,"Violetville, Baltimore, MD",817
24510080302,"Berea, Baltimore, MD",815
24005450900,"Essex, MD",813
24510080102,"Belair - Edison, Baltimore, MD",812
24005450100,"Rosedale, MD",807
24005490500,"Towson, MD",802
24510280101,"Reisterstown Station, Baltimore, MD",796
24005450501,"Essex, MD",793
24005440702,"Rosedale, MD",791
24005491402,"Parkville, MD",786
24510190100,"Franklin Square, Baltimore, MD",783
24510080301,"Berea, Baltimore, MD",782
24005440900,"Rosedale, MD",781
24510270402,"Glenham-Belford, Baltimore, MD",780
24005401505,"Catonsville, MD",780
24005403402,"Pikesville, MD",779
24510190300,"Mount Clare, Baltimore, MD",773
24005450200,"Essex, MD",772
24510150300,"Coppin Heights, Baltimore, MD",766
24005452300,"Baltimore, MD",762
24005420500,"Baltimore, MD",760
24510200600,"Baltimore, MD",759
24510270301,"Lauraville, Baltimore, MD",759
24510060400,"Baltimore, MD",757
24005451300,"Middle River, MD",756
24510271001,"Baltimore, MD",755
24005491500,"Parkville, MD",748
24510200300,"Bentalou-Smallwood, Baltimore, MD",747
24005403201,"Gwynn Oak, Lochearn, MD",747
24510200800,"Irvington, Baltimore, MD",746
24005420800,"Dundalk, MD",738
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",738
24510130600,"Hampden, Baltimore, MD",738
24003750202,"Brooklyn Park, MD",737
24510180100,"Poppleton, Baltimore, MD",728
24510272004,"Cheswolde, Baltimore, MD",728
24005430800,"Halethorpe, MD",727
24005421101,"Baltimore, MD",725
24510080800,"Broadway East, Baltimore, MD",725
24510080200,"Broadway East, Baltimore, MD",722
24510070300,"Milton - Montford, Baltimore, MD",721
24005420302,"Dundalk, MD",719
24510030100,"Perkins Homes, Baltimore, MD",719
24003750102,"Baltimore, MD",716
24005450300,"Essex, MD",715
24005420100,"Dundalk, MD",713
24510271400,"Evergreen, Baltimore, MD",711
24510010200,"Patterson Park, Baltimore, MD",711
24510140300,"Druid Heights, Baltimore, MD",709
24510270903,"Hillen, Baltimore, MD",706
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",705
24510250207,"Cherry Hill, Baltimore, MD",691
24510190200,"Pratt Monroe, Baltimore, MD",691
24005490800,"Towson, MD",688
24510280302,"West Forest Park, Baltimore, MD",687
24005491000,"Baltimore, MD",686
24510130400,"Woodbrook, Baltimore, MD",679
24510272005,"Cross Country, Baltimore, MD",659
24510260303,"Claremont - Freedom, Baltimore, MD",646
24510130100,"Reservoir Hill, Baltimore, MD",646
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",645
24005452400,"Dundalk, MD",645
24510090500,"Better Waverly, Baltimore, MD",645
24510080500,"Darley Park, Baltimore, MD",645
24005401302,"Gwynn Oak, Baltimore, MD",645
24510260401,"Armistead Gardens, Baltimore, MD",641
24510070400,"Gay Street, Baltimore, MD",639
24005400600,"Catonsville, MD",635
24510200400,"Shipley Hill, Baltimore, MD",633
24003751102,"Glen Burnie, MD",633
24005440500,"Nottingham, MD",632
24510260402,"Frankford, Baltimore, MD",627
24510250206,"Morrell Park, Baltimore, MD",627
24005400500,"Catonsville, MD",621
24510060300,"Butchers Hill, Baltimore, MD",619
24510120400,"Barclay, Baltimore, MD",616
24005492101,"Parkville, MD",615
24510130700,"Hampden, Baltimore, MD",614
24510270703,"North Harford Road, Baltimore, MD",613
24510250303,"Morrell Park, Baltimore, MD",608
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",601
24510200100,"Lexington, Baltimore, MD",600
24510080400,"Broadway East, Baltimore, MD",598
24005420701,"Dundalk, MD",596
24005490601,"Baltimore, MD",589
24005452000,"Sparrows Point, MD",588
24510260800,"Baltimore Highlands, Baltimore, MD",585
24005403401,"Pikesville, MD",585
24003750201,"Brooklyn, Baltimore, MD",582
24510150702,"Walbrook, Baltimore, MD",578
24003750300,"Linthicum Heights, MD",577
24005400800,"Catonsville, MD",573
24005490602,"Baltimore, MD",571
