"tract","Name","Fraction_Married_rP_gP_pall"
24005421000,"Dundalk, MD",0.3441
24510240300,"Riverside, Baltimore, MD",0.342
24003750201,"Brooklyn, Baltimore, MD",0.3409
24510120201,"Baltimore, MD",0.3389
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3327
24510270302,"Waltherson, Baltimore, MD",0.3281
24510130803,"Medfield, Baltimore, MD",0.3266
24510260800,"Baltimore Highlands, Baltimore, MD",0.326
24510250206,"Morrell Park, Baltimore, MD",0.3249
24005452300,"Baltimore, MD",0.3236
24005420301,"Dundalk, MD",0.3227
24003751102,"Glen Burnie, MD",0.3215
24510260401,"Armistead Gardens, Baltimore, MD",0.3214
24005491402,"Parkville, MD",0.3197
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3163
24005451100,"Essex, MD",0.3162
24005440300,"Nottingham, MD",0.3083
24510140100,"Bolton Hill, Baltimore, MD",0.3035
24510271503,"Cross Keys, Baltimore, MD",0.3026
24005450800,"Essex, MD",0.3025
24005401301,"Woodlawn, MD",0.3017
24510270301,"Lauraville, Baltimore, MD",0.3015
24005401102,"Gwynn Oak, Woodlawn, MD",0.2996
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2984
24510260900,"Baltimore, MD",0.2913
24510130806,"Woodberry, Baltimore, MD",0.2899
24510270401,"Glenham-Belford, Baltimore, MD",0.2879
24510270200,"Lauraville, Baltimore, MD",0.2876
24510280403,"Westgate, Baltimore, MD",0.2872
24510020200,"Upper Fells Point, Baltimore, MD",0.2871
24510270102,"Waltherson, Baltimore, MD",0.282
24005401200,"Woodlawn, MD",0.2802
24510010200,"Patterson Park, Baltimore, MD",0.2791
24005401101,"Woodlawn, MD",0.2787
24005450503,"Essex, MD",0.2776
24510230300,"South Baltimore, Baltimore, MD",0.2765
24510260101,"Cedmont, Baltimore, MD",0.2758
24510010500,"Upper Fells Point, Baltimore, MD",0.2737
24510040100,"Downtown, Baltimore, MD",0.2713
24005441000,"Baltimore, MD",0.2698
24005450504,"Essex, MD",0.2682
24005402604,"Randallstown, MD",0.266
24510271900,"Glen, Baltimore, MD",0.2658
24510020100,"Upper Fells Point, Baltimore, MD",0.2646
24510120700,"Remington, Baltimore, MD",0.2615
24005401507,"Windsor Mill, Baltimore, MD",0.2564
24510250500,"Curtis Bay, Baltimore, MD",0.2541
24510250600,"Brooklyn, Baltimore, MD",0.2505
24510250402,"Brooklyn, Baltimore, MD",0.25
24005401302,"Gwynn Oak, Baltimore, MD",0.2487
24510010300,"Canton, Baltimore, MD",0.2469
24510210200,"Pigtown, Baltimore, MD",0.2453
24005402407,"Windsor Mill, Milford Mill, MD",0.2358
24005403201,"Gwynn Oak, Lochearn, MD",0.2345
24005403100,"Gwynn Oak, Pikesville, MD",0.2328
24005402405,"Gwynn Oak, Baltimore, MD",0.2323
24510261000,"Patterson Park, Baltimore, MD",0.2318
24510260404,"Baltimore Highlands, Baltimore, MD",0.2245
24005403202,"Gwynn Oak, Baltimore, MD",0.2201
24510130805,"Cold Springs, Baltimore, MD",0.2165
24510200500,"Mill Hill, Baltimore, MD",0.2144
24510250205,"Lakeland, Baltimore, MD",0.2112
24005421300,"Dundalk, MD",0.211
24510080101,"Belair - Edison, Baltimore, MD",0.2082
24510190200,"Pratt Monroe, Baltimore, MD",0.207
24005491401,"Parkville, MD",0.2022
24510260201,"Frankford, Baltimore, MD",0.201
24510270903,"Hillen, Baltimore, MD",0.1974
24510270801,"Idlewood, Baltimore, MD",0.1968
24510280401,"Baltimore, MD",0.1943
24005402305,"Lochearn, Pikesville, MD",0.1872
24510230100,"Baltimore, MD",0.1871
24510110200,"Downtown, Baltimore, MD",0.1869
24510270803,"Loch Raven, Baltimore, MD",0.1828
24510260102,"Frankford, Baltimore, MD",0.182
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1819
24510110100,"Downtown, Baltimore, MD",0.1804
24510280402,"Rognel Heights, Baltimore, MD",0.1803
24510030200,"Little Italy, Baltimore, MD",0.1776
24005402403,"Gwynn Oak, Baltimore, MD",0.1747
24510190300,"Mount Clare, Baltimore, MD",0.1741
24510270902,"Perring Loch, Baltimore, MD",0.1727
24510270802,"Ramblewood, Baltimore, MD",0.1715
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.1708
24510040200,"Downtown, Baltimore, MD",0.1706
24005402307,"Pikesville, MD",0.1702
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.17
24005402303,"Windsor Mill, Baltimore, MD",0.1684
24510200600,"Baltimore, MD",0.1679
24510120600,"Old Goucher, Baltimore, MD",0.165
24510260302,"Belair - Edison, Baltimore, MD",0.1613
24510150701,"Hanlon Longwood, Baltimore, MD",0.1603
24005402304,"Gwynn Oak, Baltimore, MD",0.1601
24510270805,"Mid-Govans, Baltimore, MD",0.1593
24510260203,"Frankford, Baltimore, MD",0.1574
24005402404,"Gwynn Oak, Lochearn, MD",0.157
24510280302,"West Forest Park, Baltimore, MD",0.1566
24510280301,"Gwynn Oak, Baltimore, MD",0.1558
24510060200,"Baltimore, MD",0.1545
24510280102,"Gwynn Oak, Baltimore, MD",0.1537
24510280200,"Gwynn Oak, Baltimore, MD",0.1528
24510250101,"Beechfield, Baltimore, MD",0.152
24510180300,"Hollins Market, Baltimore, MD",0.1511
24510151100,"East Arlington, Baltimore, MD",0.1502
24510200800,"Irvington, Baltimore, MD",0.1465
24510260604,"O'Donnell Heights, Baltimore, MD",0.1453
24510060100,"Patterson Park, Baltimore, MD",0.1417
24510260301,"Belair - Edison, Baltimore, MD",0.1412
24510260202,"Parkside, Baltimore, MD",0.1394
24510210100,"Pigtown, Baltimore, MD",0.1357
24510070100,"Baltimore, MD",0.1357
24510270901,"New Northwood, Baltimore, MD",0.1338
24510200702,"Saint Joseph's, Baltimore, MD",0.133
24510090500,"Better Waverly, Baltimore, MD",0.1323
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1309
24510120500,"Greenmount West, Baltimore, MD",0.1259
24510271002,"Winston - Govans, Baltimore, MD",0.1257
24510130400,"Woodbrook, Baltimore, MD",0.1255
24510150800,"Garwyn Oaks, Baltimore, MD",0.1221
24510280101,"Reisterstown Station, Baltimore, MD",0.1219
24510150702,"Walbrook, Baltimore, MD",0.1217
24510151000,"Dorchester, Baltimore, MD",0.1201
24510160700,"Rosemont, Baltimore, MD",0.1198
24510260402,"Frankford, Baltimore, MD",0.1195
24510250102,"Yale Heights, Baltimore, MD",0.1194
24510260403,"Cedonia, Baltimore, MD",0.1145
24510150500,"Burleith-Leighton, Baltimore, MD",0.1141
24510250301,"Westport, Baltimore, MD",0.1125
24510150900,"Windsor Hills, Baltimore, MD",0.1115
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.1111
24510130300,"Penn North, Baltimore, MD",0.1107
24510151200,"Park Circle, Baltimore, MD",0.1104
24510271802,"Langston Hughes, Baltimore, MD",0.1102
24510200701,"Allendale, Baltimore, MD",0.1096
24510160801,"Edmondson, Baltimore, MD",0.1091
24510150400,"Mondawmin, Baltimore, MD",0.1056
24510170100,"Downtown, Baltimore, MD",0.1055
24510060300,"Butchers Hill, Baltimore, MD",0.1052
24510271700,"Central Park Heights, Baltimore, MD",0.1052
24510080301,"Berea, Baltimore, MD",0.1047
24510150300,"Coppin Heights, Baltimore, MD",0.104
